365.5732,
372.9637,
327.0274,
331.0369,
334.2664,
333.8492,
331.8420,
334.8311,
347.3192,
341.4022,
330.0725,
348.2006,
361.3673,
360.2864,
357.9117,
352.7813,
358.0207,
392.7616,
328.5605,
287.0212,
288.0026,
287.0212,
290.7955,
288.0026,
279.4161,
281.7593,
283.2449,
282.4885,
291.1245,
290.0419,
288.5303,
293.8191,
299.1060,
303.6368,
298.3499,
300.6161,
295.3297,
298.3504,
309.0757,
326.2962,
301.2699,
324.5768,
327.8059,
335.8817,
338.3825,
342.9128,
339.1337,
347.4441,
337.6255,
340.6476,
330.8280,
283.2449,
291.9042,
355.7536,
336.1154,
340.3507,
336.1154,
329.3184,
319.4998,
312.1981,
329.3695,
333.8502,
322.3435,
320.7826,
328.5873,
297.9348,
287.4379,
294.2459,
291.1255,
285.8247,
294.2469,
285.9975,
289.6497,
293.1185,
295.0266,
309.8554,
318.6078,
317.9892,
317.6602,
323.7701,
320.7836,
317.3105,
314.8891,
312.9783,
311.6591,
303.4931,
285.0165,
289.8609,
284.1000,
281.7844,
