620.0819,-45,1544.5675,-53,1920.7341,-60
688.8402,-47,1344.4400,-54,1688.1016,-54
864.8231,-49,1266.7207,-52,2054.9999,-66
358.2464,-40,1587.6461,-54,1846.7138,-60
826.3026,-52,1086.7529,-51,2222.8018,-61
543.8218,-46,1806.0270,-59,1848.9785,-57
952.1874,-54,752.4921,-51,1562.7201,-54
434.3057,-39,1174.4980,-53,2160.3633,-60
1247.0071,-58,1577.3489,-53,2349.5082,-62
1543.8403,-53,1188.8484,-54,2459.2851,-61
913.1636,-46,1151.0815,-49,2055.1768,-62
838.3893,-46,1132.9558,-51,2950.9841,-65
562.7036,-47,1403.3022,-48,2037.0492,-60
1247.7607,-54,1324.8007,-51,2500.6501,-60
1138.2417,-55,1237.9445,-51,1936.5932,-58
714.5208,-48,1206.2195,-54,2382.2204,-62
1006.0141,-50,1191.8686,-48,1749.2796,-56
1055.1598,-55,1484.1690,-53,2159.5836,-59
1012.1080,-48,1935.3183,-55,1865.3446,-58
1309.6952,-53,1527.3965,-59,1845.6984,-61
1394.2877,-52,1257.5794,-53,2446.7969,-64
1214.5271,-52,1264.3778,-54,2193.1427,-57
1268.9086,-57,1316.4932,-48,1928.0500,-58
871.7987,-45,1300.6321,-55,2168.4706,-62
